Year,Month,Anomaly,Unc,Anomaly1,Unc1,Anomaly2,Unc2,Anomaly3,Unc3,Anomaly4,Unc4 
  1791,     5 ,   -0.874 , 1.993,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1791,     6 ,   -0.217 , 1.963,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1791,     7 ,   -0.792 , 1.761,    -0.336 , 0.973,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1791,     8 ,    0.104 , 1.633,    -0.323 , 1.042,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1791,     9 ,   -0.898 , 2.187,    -0.415 , 1.034,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1791,    10 ,   -1.250 , 2.082,    -0.505 , 1.033,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1791,    11 ,    1.003 , 2.327,    -0.423 , 1.041,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1791,    12 ,    0.599 , 2.260,    -0.337 , 1.073,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,     1 ,   -2.164 , 3.617,    -0.282 , 1.058,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,     2 ,    0.312 , 3.052,    -0.424 , 1.022,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,     3 ,   -0.907 , 2.552,    -0.273 , 1.005,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,     4 ,   -0.973 , 2.312,    -0.299 , 0.994,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,     5 ,    0.104 , 1.962,    -0.461 , 1.022,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,     6 ,    0.822 , 1.670,    -0.524 , 0.984,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,     7 ,   -0.131 , 1.886,    -0.536 , 0.996,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,     8 ,   -1.601 , 1.867,    -0.484 , 1.023,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,     9 ,    0.911 , 2.338,    -0.505 , 1.043,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,    10 ,   -1.568 , 2.111,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,    11 ,   -0.932 , 2.694,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1792,    12 ,   -0.161 , 2.779,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,     1 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,     2 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,     3 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,     4 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,     5 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,     6 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,     7 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,     8 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,     9 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,    10 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,    11 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1793,    12 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,     1 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,     2 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,     3 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,     4 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,     5 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,     6 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,     7 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,     8 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,     9 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,    10 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,    11 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1794,    12 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,     1 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,     2 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,     3 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,     4 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,     5 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,     6 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,     7 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,     8 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,     9 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,    10 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,    11 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1795,    12 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,     1 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,     2 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,     3 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,     4 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,     5 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,     6 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,     7 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,     8 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,     9 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,    10 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,    11 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1796,    12 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
