Year,Month,Anomaly,Unc,Anomaly1,Unc1,Anomaly2,Unc2,Anomaly3,Unc3,Anomaly4,Unc4
  1828,     1 ,   -1.538 , 3.468,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,     2 ,   -0.698 , 2.871,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,     3 ,    0.877 , 3.133,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,     4 ,      NaN ,   NaN,    -0.248 , 1.470,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,     5 ,    0.630 , 2.335,    -0.369 , 1.457,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,     6 ,    1.390 , 1.992,    -0.477 , 1.527,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,     7 ,    1.172 , 2.062,    -0.337 , 1.564,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,     8 ,   -0.877 , 2.312,    -0.287 , 1.505,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,     9 ,   -2.929 , 1.775,    -0.244 , 1.413,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,    10 ,   -0.988 , 2.319,    -0.309 , 1.348,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,    11 ,   -1.297 , 3.112,    -0.238 , 1.344,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1828,    12 ,   -1.345 , 4.392,    -0.279 , 1.319,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1829,     1 ,    0.142 , 3.189,    -0.284 , 1.311,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1829,     2 ,   -0.091 , 3.643,    -0.174 , 1.297,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1829,     3 ,    1.388 , 2.632,    -0.086 , 1.342,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1829,     4 ,   -0.908 , 2.186,     0.003 , 1.368,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
