Year,Month,Anomaly,Unc,Anomaly1,Unc1,Anomaly2,Unc2,Anomaly3,Unc3,Anomaly4,Unc4
  1753,     1 ,   -1.600 , 5.135,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,     2 ,   -2.440 , 2.932,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,     3 ,    1.005 , 2.759,     0.097 , 0.875,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,     4 ,    0.056 , 4.846,     0.191 , 0.870,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,     5 ,    0.808 , 2.034,     0.020 , 0.872,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,     6 ,    1.923 , 1.916,    -0.277 , 1.208,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,     7 ,    1.182 , 1.642,    -0.297 , 1.066,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,     8 ,   -0.224 , 4.380,    -0.474 , 1.116,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,     9 ,    0.071 , 1.689,    -0.676 , 1.155,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,    10 ,    0.246 , 1.924,    -0.455 , 0.999,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,    11 ,   -1.394 , 2.519,    -0.457 , 1.091,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1753,    12 ,   -2.954 , 2.669,    -0.505 , 1.034,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,     1 ,   -1.839 , 2.858,    -0.569 , 1.077,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,     2 ,   -4.569 , 3.910,    -0.570 , 0.996,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,     3 ,   -1.424 , 3.138,    -0.629 , 0.996,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,     4 ,    2.710 , 5.120,    -0.545 , 1.020,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,     5 ,    0.792 , 2.828,    -0.407 , 1.059,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,     6 ,    1.338 , 1.665,    -0.151 , 1.095,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,     7 ,    0.423 , 2.055,    -0.291 , 1.284,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,     8 ,   -0.241 , 3.264,    -0.227 , 1.441,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,     9 ,   -0.635 , 2.568,    -0.139 , 1.346,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,    10 ,    1.258 , 2.265,    -0.183 , 0.940,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,    11 ,    0.262 , 2.078,    -0.135 , 0.870,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1754,    12 ,    0.113 , 2.363,    -0.033 , 0.838,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1755,     1 ,   -3.517 , 4.387,    -0.035 , 0.811,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1755,     2 ,   -3.808 , 3.835,    -0.080 , 0.831,       NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN
  1755,     3 ,   -0.357 , 3.515,    -0.051 , 0.873,     0.056 , 0.708,       NaN ,   NaN ,      NaN ,   NaN
  1755,     4 ,    2.171 , 3.373,    -0.198 , 0.951,     0.026 , 0.723,       NaN ,   NaN ,      NaN ,   NaN
  1755,     5 ,    1.369 , 2.605,    -0.267 , 1.172,    -0.027 , 0.716,       NaN ,   NaN ,      NaN ,   NaN
  1755,     6 ,    2.571 , 3.027,    -0.400 , 0.904,    -0.095 , 0.648,       NaN ,   NaN ,      NaN ,   NaN
  1755,     7 ,    0.398 , 1.741,    -0.034 , 1.115,    -0.148 , 0.650,       NaN ,   NaN ,      NaN ,   NaN
  1755,     8 ,   -0.789 , 2.347,     0.470 , 1.464,    -0.141 , 0.663,       NaN ,   NaN ,      NaN ,   NaN
  1755,     9 ,   -0.289 , 1.636,     0.520 , 1.440,    -0.165 , 0.661,       NaN ,   NaN ,      NaN ,   NaN
  1755,    10 ,   -0.495 , 5.041,     0.479 , 1.327,    -0.181 , 0.659,       NaN ,   NaN ,      NaN ,   NaN
  1755,    11 ,   -0.572 , 4.801,     0.547 , 1.176,    -0.217 , 0.666,       NaN ,   NaN ,      NaN ,   NaN
  1755,    12 ,   -1.479 , 5.623,     0.489 , 1.186,    -0.242 , 0.671,       NaN ,   NaN ,      NaN ,   NaN
  1756,     1 ,    0.868 , 3.370,     0.471 , 1.116,    -0.269 , 0.675,       NaN ,   NaN ,      NaN ,   NaN
  1756,     2 ,    2.239 , 3.210,     0.479 , 1.128,    -0.298 , 0.673,       NaN ,   NaN ,      NaN ,   NaN
  1756,     3 ,    0.251 , 4.959,     0.579 , 1.121,    -0.337 , 0.679,       NaN ,   NaN ,      NaN ,   NaN
  1756,     4 ,    1.669 , 2.052,     0.517 , 1.245,    -0.407 , 0.680,       NaN ,   NaN ,      NaN ,   NaN
  1756,     5 ,    2.189 , 3.872,     0.362 , 1.322,    -0.388 , 0.685,       NaN ,   NaN ,      NaN ,   NaN
  1756,     6 ,    1.876 , 2.663,     0.296 , 1.001,    -0.350 , 0.702,       NaN ,   NaN ,      NaN ,   NaN
  1756,     7 ,    0.179 , 1.880,    -0.035 , 1.048,    -0.290 , 0.714,       NaN ,   NaN ,      NaN ,   NaN
  1756,     8 ,   -0.683 , 5.835,    -0.175 , 1.071,    -0.206 , 0.720,       NaN ,   NaN ,      NaN ,   NaN
  1756,     9 ,    0.903 , 2.411,    -0.175 , 1.114,    -0.185 , 0.729,       NaN ,   NaN ,      NaN ,   NaN
  1756,    10 ,   -1.233 , 2.415,    -0.305 , 1.106,    -0.260 , 0.712,       NaN ,   NaN ,      NaN ,   NaN
  1756,    11 ,   -2.433 , 3.013,    -0.341 , 1.102,    -0.287 , 0.704,       NaN ,   NaN ,      NaN ,   NaN
  1756,    12 ,   -2.278 , 2.333,    -0.173 , 1.100,    -0.304 , 0.705,       NaN ,   NaN ,      NaN ,   NaN
  1757,     1 ,   -3.100 , 2.399,     0.119 , 1.111,    -0.320 , 0.699,       NaN ,   NaN ,      NaN ,   NaN
  1757,     2 ,    0.554 , 3.335,     0.260 , 1.107,    -0.306 , 0.702,       NaN ,   NaN ,      NaN ,   NaN
  1757,     3 ,    0.257 , 3.084,     0.282 , 1.137,    -0.280 , 0.706,       NaN ,   NaN ,      NaN ,   NaN
  1757,     4 ,    0.108 , 4.179,     0.165 , 1.187,    -0.300 , 0.706,       NaN ,   NaN ,      NaN ,   NaN
  1757,     5 ,    1.759 , 3.040,     0.159 , 1.143,    -0.352 , 0.710,       NaN ,   NaN ,      NaN ,   NaN
  1757,     6 ,    3.895 , 3.113,     0.056 , 0.968,    -0.422 , 0.694,       NaN ,   NaN ,      NaN ,   NaN
  1757,     7 ,    3.676 , 4.349,    -0.084 , 1.080,    -0.403 , 0.697,       NaN ,   NaN ,      NaN ,   NaN
  1757,     8 ,    1.016 , 2.815,    -0.296 , 1.065,    -0.368 , 0.693,       NaN ,   NaN ,      NaN ,   NaN
  1757,     9 ,    1.169 , 5.078,    -0.353 , 1.015,    -0.404 , 0.695,    -0.319 , 0.673 ,      NaN ,   NaN
  1757,    10 ,   -2.646 , 6.851,    -0.441 , 1.014,    -0.439 , 0.691,    -0.326 , 0.672 ,      NaN ,   NaN
  1757,    11 ,   -2.498 , 3.153,    -0.698 , 1.042,    -0.473 , 0.690,    -0.335 , 0.673 ,      NaN ,   NaN
  1757,    12 ,   -3.519 , 7.178,    -0.988 , 1.045,    -0.538 , 0.689,    -0.359 , 0.601 ,      NaN ,   NaN
  1758,     1 ,   -4.775 , 2.317,    -1.330 , 1.047,    -0.557 , 0.686,    -0.362 , 0.600 ,      NaN ,   NaN
  1758,     2 ,   -1.998 , 2.741,    -1.581 , 1.063,    -0.541 , 0.686,    -0.347 , 0.612 ,      NaN ,   NaN
  1758,     3 ,   -0.424 , 3.537,    -1.866 , 1.055,    -0.533 , 0.687,    -0.376 , 0.614 ,      NaN ,   NaN
  1758,     4 ,   -0.943 , 5.831,    -1.974 , 1.033,    -0.538 , 0.691,    -0.380 , 0.615 ,      NaN ,   NaN
  1758,     5 ,   -1.324 , 4.034,    -1.788 , 1.008,    -0.552 , 0.699,    -0.396 , 0.614 ,      NaN ,   NaN
  1758,     6 ,    0.410 , 3.656,    -1.550 , 1.030,    -0.544 , 0.696,    -0.420 , 0.613 ,      NaN ,   NaN
  1758,     7 ,   -0.431 , 5.004,    -1.005 , 3.136,    -0.600 , 0.710,    -0.414 , 0.608 ,      NaN ,   NaN
  1758,     8 ,   -1.993 , 4.405,    -0.803 , 3.437,    -0.639 , 0.714,    -0.409 , 0.605 ,      NaN ,   NaN
  1758,     9 ,   -2.254 , 2.485,    -0.779 , 3.551,    -0.620 , 0.714,    -0.418 , 0.604 ,      NaN ,   NaN
  1758,    10 ,   -3.937 , 7.791,    -0.850 , 3.405,    -0.674 , 0.719,    -0.445 , 0.607 ,      NaN ,   NaN
  1758,    11 ,   -0.272 , 5.423,    -0.807 , 3.307,    -0.679 , 0.723,    -0.450 , 0.609 ,      NaN ,   NaN
  1758,    12 ,   -0.661 , 4.333,    -0.814 , 3.464,    -0.660 , 0.726,    -0.423 , 0.616 ,      NaN ,   NaN
  1759,     1 ,    1.773 , 4.501,    -0.826 , 3.446,    -0.591 , 0.717,    -0.409 , 0.611 ,      NaN ,   NaN
  1759,     2 ,    0.423 , 5.576,    -0.606 , 3.297,    -0.571 , 0.717,    -0.350 , 0.607 ,      NaN ,   NaN
  1759,     3 ,   -0.138 , 2.890,    -0.342 , 3.351,    -0.574 , 0.714,    -0.339 , 0.599 ,      NaN ,   NaN
  1759,     4 ,   -1.798 , 4.433,    -0.009 , 2.966,    -0.563 , 0.709,    -0.370 , 0.592 ,      NaN ,   NaN
  1759,     5 ,   -0.811 , 2.699,    -0.225 , 2.880,    -0.559 , 0.709,    -0.375 , 0.592 ,      NaN ,   NaN
  1759,     6 ,    0.332 , 3.847,    -0.510 , 2.688,    -0.597 , 0.706,    -0.391 , 0.589 ,      NaN ,   NaN
  1759,     7 ,   -0.581 , 3.260,    -0.859 , 2.522,    -0.498 , 0.689,    -0.404 , 0.584 ,      NaN ,   NaN
  1759,     8 ,    0.648 , 4.585,    -1.037 , 2.260,    -0.491 , 0.690,    -0.414 , 0.585 ,      NaN ,   NaN
  1759,     9 ,    0.912 , 4.175,    -1.234 , 2.630,    -0.521 , 0.676,    -0.415 , 0.589 ,      NaN ,   NaN
  1759,    10 ,    0.066 , 3.483,    -1.080 , 2.818,    -0.507 , 0.676,    -0.421 , 0.585 ,      NaN ,   NaN
  1759,    11 ,   -2.862 , 4.371,    -1.067 , 2.656,    -0.542 , 0.672,    -0.425 , 0.581 ,      NaN ,   NaN
  1759,    12 ,   -4.081 , 5.437,    -1.202 , 2.421,    -0.593 , 0.671,    -0.405 , 0.573 ,      NaN ,   NaN
  1760,     1 ,   -2.420 , 3.470,    -1.217 , 2.434,    -0.632 , 0.661,    -0.355 , 0.574 ,      NaN ,   NaN
  1760,     2 ,   -1.716 , 2.363,    -1.256 , 2.519,    -0.659 , 0.651,    -0.327 , 0.570 ,      NaN ,   NaN
  1760,     3 ,   -2.502 , 6.312,    -1.320 , 2.474,    -0.694 , 0.647,    -0.312 , 0.565 ,      NaN ,   NaN
  1760,     4 ,    0.059 , 4.399,    -1.389 , 2.542,    -0.678 , 0.640,    -0.323 , 0.564 ,      NaN ,   NaN
  1760,     5 ,   -0.654 , 3.103,    -1.268 , 2.197,    -0.643 , 0.643,    -0.339 , 0.562 ,      NaN ,   NaN
  1760,     6 ,   -1.295 , 2.362,    -1.010 , 2.046,    -0.623 , 0.644,    -0.373 , 0.561 ,      NaN ,   NaN
  1760,     7 ,   -0.764 , 2.836,    -1.017 , 2.156,    -0.576 , 0.640,    -0.387 , 0.562 ,      NaN ,   NaN
  1760,     8 ,    0.188 , 4.996,    -0.884 , 2.191,    -0.554 , 0.650,    -0.385 , 0.560 ,      NaN ,   NaN
  1760,     9 ,    0.141 , 3.639,    -0.557 , 1.684,    -0.587 , 0.655,    -0.385 , 0.559 ,      NaN ,   NaN
  1760,    10 ,   -0.760 , 3.660,    -0.695 , 1.647,    -0.579 , 0.661,    -0.383 , 0.559 ,      NaN ,   NaN
  1760,    11 ,   -1.409 , 2.555,    -0.481 , 1.877,    -0.575 , 0.653,    -0.377 , 0.559 ,      NaN ,   NaN
  1760,    12 ,   -0.984 , 2.838,    -0.125 , 1.025,    -0.598 , 0.645,    -0.371 , 0.550 ,      NaN ,   NaN
  1761,     1 ,   -2.507 , 4.473,     0.298 , 1.336,    -0.560 , 0.634,    -0.409 , 0.552 ,      NaN ,   NaN
