Year,Month,Anomaly,Unc,Anomaly1,Unc1,Anomaly2,Unc2,Anomaly3,Unc3,Anomaly4,Unc4 
  1819,     1 ,   -1.848 , 2.870,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,     2 ,   -1.396 , 2.966,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,     3 ,   -2.311 , 4.436,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,     4 ,   -1.307 , 1.936,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,     5 ,      NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,     6 ,   -2.186 , 2.876,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,     7 ,   -2.258 , 1.977,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,     8 ,   -2.066 , 2.039,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,     9 ,      NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,    10 ,      NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,    11 ,      NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1819,    12 ,    0.092 , 2.992,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1820,     1 ,      NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1820,     2 ,      NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1820,     3 ,   -0.869 , 3.494,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1820,     4 ,    0.160 , 1.734,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1820,     5 ,      NaN ,   NaN,       NaN ,   NaN ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
