Year,Month,Anomaly,Unc,Anomaly1,Unc1,Anomaly2,Unc2,Anomaly3,Unc3,Anomaly4,Unc4
1843,     1 ,    0.384 , 2.017,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,     2 ,    0.453 , 1.790,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,     3 ,   -0.934 , 1.912,    -0.459 , 0.757,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,     4 ,   -0.385 , 1.853,    -0.429 , 0.773,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,     5 ,   -1.177 , 1.551,    -0.455 , 0.745,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,     6 ,   -0.529 , 1.584,    -0.498 , 0.783,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,     7 ,   -0.246 , 1.477,    -0.540 , 0.816,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,     8 ,   -0.543 , 1.776,    -0.687 , 0.805,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,     9 ,   -0.988 , 1.206,    -0.685 , 0.874,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,    10 ,      NaN ,   NaN,    -0.719 , 0.845,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,    11 ,   -0.999 , 1.399,    -0.714 , 0.851,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1843,    12 ,   -0.161 , 2.281,    -0.725 , 0.829,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,     1 ,   -0.120 , 1.796,    -0.734 , 0.827,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,     2 ,   -1.311 , 2.008,    -0.743 , 0.842,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,     3 ,      NaN ,   NaN,    -0.784 , 0.847,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,     4 ,      NaN ,   NaN,    -0.775 , 0.812,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,     5 ,   -1.126 , 1.559,    -0.814 , 0.820,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,     6 ,   -0.651 , 1.438,    -0.899 , 0.726,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,     7 ,   -0.360 , 1.493,    -0.966 , 0.713,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,     8 ,   -0.656 , 2.132,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,     9 ,   -1.477 , 1.294,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,    10 ,   -0.742 , 1.404,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,    11 ,   -1.472 , 1.394,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1844,    12 ,   -1.177 , 1.634,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,     1 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,     2 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,     3 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,     4 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,     5 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,     6 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,     7 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,     8 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,     9 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,    10 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,    11 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
1845,    12 ,      NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
