Year,Month,Anomaly,Unc,Anomaly1,Unc1,Anomaly2,Unc2,Anomaly3,Unc3,Anomaly4,Unc 4
  1857,     1 ,   -1.179 , 1.812,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,     2 ,   -0.558 , 1.641,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,     3 ,   -1.311 , 1.573,    -0.983 , 0.601,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,     4 ,   -1.688 , 1.555,    -0.970 , 0.589,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,     5 ,   -1.250 , 1.477,    -0.941 , 0.575,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,     6 ,   -1.034 , 1.451,    -0.949 , 0.600,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,     7 ,   -0.665 , 1.493,    -0.893 , 0.632,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,     8 ,   -0.232 , 1.741,    -0.929 , 0.643,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,     9 ,   -0.852 , 1.622,    -0.908 , 0.667,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,    10 ,   -1.280 , 1.565,    -0.741 , 0.662,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,    11 ,   -0.596 , 1.423,    -0.694 , 0.695,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1857,    12 ,   -0.746 , 1.827,    -0.619 , 0.658,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1858,     1 ,   -0.505 , 2.436,    -0.674 , 0.701,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1858,     2 ,   -0.991 , 1.577,    -0.691 , 0.718,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1858,     3 ,   -1.051 , 1.696,    -0.694 , 0.730,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1858,     4 ,    0.314 , 1.581,    -0.651 , 0.746,       NaN ,   NaN,       NaN ,   NaN,       NaN ,   NaN
  1858,     5 ,   -0.690 , 1.643,    -0.606 , 0.793,    -0.736 , 0.445,       NaN ,   NaN,       NaN ,   NaN
  1858,     6 ,   -0.138 , 1.434,    -0.645 , 0.737,    -0.728 , 0.419,       NaN ,   NaN,       NaN ,   NaN
  1858,     7 ,   -1.313 , 1.968,    -0.648 , 0.698,    -0.752 , 0.400,       NaN ,   NaN,       NaN ,   NaN
  1858,     8 ,   -0.447 , 1.591,    -0.644 , 0.717,    -0.749 , 0.394,       NaN ,   NaN,       NaN ,   NaN
  1858,     9 ,   -0.883 , 1.519,    -0.592 , 0.709,    -0.739 , 0.392,       NaN ,   NaN,       NaN ,   NaN
  1858,    10 ,   -0.767 , 1.572,    -0.634 , 0.748,    -0.739 , 0.391,       NaN ,   NaN,       NaN ,   NaN
  1858,    11 ,   -0.052 , 1.557,    -0.586 , 0.736,    -0.739 , 0.391,       NaN ,   NaN,       NaN ,   NaN
  1858,    12 ,   -1.211 , 1.618,    -0.580 , 0.768,    -0.747 , 0.399,       NaN ,   NaN,       NaN ,   NaN
  1859,     1 ,   -0.542 , 1.578,    -0.534 , 0.735,    -0.741 , 0.395,       NaN ,   NaN,       NaN ,   NaN
  1859,     2 ,   -0.946 , 1.971,    -0.546 , 0.740,    -0.730 , 0.393,       NaN ,   NaN,       NaN ,   NaN
  1859,     3 ,   -0.426 , 1.545,    -0.538 , 0.707,    -0.720 , 0.388,       NaN ,   NaN,       NaN ,   NaN
  1859,     4 ,   -0.195 , 1.800,    -0.543 , 0.719,    -0.704 , 0.376,       NaN ,   NaN,       NaN ,   NaN
  1859,     5 ,   -0.117 , 1.392,    -0.604 , 0.762,    -0.698 , 0.388,       NaN ,   NaN,       NaN ,   NaN
  1859,     6 ,   -0.060 , 1.438,    -0.578 , 0.821,    -0.699 , 0.389,       NaN ,   NaN,       NaN ,   NaN
  1859,     7 ,   -0.756 , 1.488,    -0.582 , 0.761,    -0.703 , 0.378,       NaN ,   NaN,       NaN ,   NaN
  1859,     8 ,   -0.593 , 1.441,    -0.563 , 0.694,    -0.720 , 0.372,    -0.685 , 0.348,       NaN ,   NaN
  1859,     9 ,   -0.793 , 1.568,    -0.685 , 0.647,    -0.719 , 0.372,    -0.684 , 0.350,       NaN ,   NaN
  1859,    10 ,   -0.824 , 1.533,    -0.707 , 0.615,    -0.703 , 0.369,    -0.691 , 0.345,       NaN ,   NaN
  1859,    11 ,   -0.781 , 1.888,    -0.763 , 0.623,    -0.685 , 0.378,    -0.694 , 0.348,       NaN ,   NaN
  1859,    12 ,   -0.899 , 1.862,    -0.784 , 0.644,    -0.668 , 0.377,    -0.700 , 0.346,       NaN ,   NaN
  1860,     1 ,   -0.589 , 1.518,    -0.765 , 0.656,    -0.666 , 0.380,    -0.701 , 0.350,       NaN ,   NaN
  1860,     2 ,   -0.718 , 1.545,    -0.704 , 0.677,    -0.672 , 0.393,    -0.708 , 0.342,       NaN ,   NaN
  1860,     3 ,   -1.893 , 1.917,    -0.661 , 0.736,    -0.681 , 0.409,    -0.709 , 0.336,       NaN ,   NaN
  1860,     4 ,   -0.456 , 1.483,    -0.635 , 0.693,    -0.689 , 0.428,    -0.722 , 0.335,       NaN ,   NaN
  1860,     5 ,   -0.797 , 1.424,    -0.646 , 0.628,    -0.706 , 0.433,    -0.724 , 0.334,       NaN ,   NaN
  1860,     6 ,   -0.306 , 1.624,    -0.697 , 0.601,    -0.714 , 0.418,    -0.719 , 0.331,       NaN ,   NaN
  1860,     7 ,   -0.535 , 1.610,    -0.779 , 0.588,    -0.697 , 0.404,    -0.715 , 0.328,       NaN ,   NaN
  1860,     8 ,      NaN ,   NaN,    -0.803 , 0.589,    -0.683 , 0.416,    -0.711 , 0.325,       NaN ,   NaN
  1860,     9 ,      NaN ,   NaN,    -0.706 , 0.577,    -0.686 , 0.425,    -0.703 , 0.322,       NaN ,   NaN
  1860,    10 ,   -0.513 , 1.484,    -0.711 , 0.578,    -0.698 , 0.441,    -0.697 , 0.319,       NaN ,   NaN
