Year,Month,Anomaly,Unc,Anomaly1,Unc1,Anomaly2,Unc2,Anomaly3,Unc3,Anomaly4,Unc4
  1796  ,   1  ,   0.230 , 2.374  ,     NaN,    NaN,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,   2  ,  -0.521 , 1.940  ,     NaN,    NaN,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,   3  ,  -1.946 , 2.608  ,     NaN,    NaN,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,   4  ,  -0.535 , 2.122  ,  -0.279,  1.124,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,   5  ,   0.346 , 1.997  ,  -0.256,  1.170,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,   6  ,   0.134 , 3.018  ,  -0.376,  0.997,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,   7  ,   0.231 , 2.403  ,  -0.195,  1.170,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,   8  ,   0.761 , 2.842  ,   0.025,  1.134,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,   9  ,  -0.167 , 3.166  ,   0.067,  1.120,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,  10  ,  -0.159 , 1.752  ,  -0.013,  1.000,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,  11  ,  -0.492 , 2.705  ,  -0.092,  1.004,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1796  ,  12  ,  -2.389 , 3.473  ,  -0.076,  0.895,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1797  ,   1  ,     NaN ,   NaN  ,  -0.095,  0.928,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1797  ,   2  ,     NaN ,   NaN  ,  -0.124,  0.895,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1797  ,   3  ,  -1.438 , 2.310  ,  -0.118,  0.955,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1797  ,   4  ,  -1.492 , 2.877  ,  -0.155,  1.045,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1797  ,   5  ,  -0.605 , 2.437  ,  -0.257,  1.091,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1797  ,   6  ,   0.317 , 2.310  ,  -0.104,  1.154,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1797  ,   7  ,   0.013 , 2.388  ,  -0.262,  1.333,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
  1797  ,   8  ,   0.405 , 2.104  ,  -0.469,  1.282,       NaN,    NaN,       NaN,    NaN,       NaN ,   NaN
